Message ID,Status,Email Address,Subject,Tag,Date & Time,Bounce reason
78f96d64-b028-4e1f-b5a1-5be322a65e01,Delivered,papamoacoast@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-06-02 09:19:22 +1200,
78f96d64-b028-4e1f-b5a1-5be322a65e01,Processed,papamoacoast@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-06-02 09:19:18 +1200,
608c28e2-c5ec-4367-84d3-e78299182885,Opened,welcomebay@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-06-02 08:57:14 +1200,
3195e709-bdaf-4d11-8d18-e16381936859,Opened,brookfield@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-06-02 07:43:40 +1200,
3066084f-52a1-4f0c-82ec-3edd0c75df17,Opened,brookfield@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-06-02 07:43:40 +1200,
69a37a58-8425-4709-bb49-4ba431ebbe9c,Delivered,office@ikindergartens.nz,New contact submission from 'MINWON KIM' to 'Office',"",2026-06-02 00:41:52 +1200,
69a37a58-8425-4709-bb49-4ba431ebbe9c,Processed,office@ikindergartens.nz,New contact submission from 'MINWON KIM' to 'Office',,2026-06-02 00:41:47 +1200,
3195e709-bdaf-4d11-8d18-e16381936859,Delivered,brookfield@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-06-02 00:28:22 +1200,
3195e709-bdaf-4d11-8d18-e16381936859,Processed,brookfield@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-06-02 00:28:17 +1200,
096938ad-60e1-4f95-bb66-63d5aa0c6470,Delivered,tepuke@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-06-01 22:05:17 +1200,
096938ad-60e1-4f95-bb66-63d5aa0c6470,Processed,tepuke@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-06-01 22:05:12 +1200,
b59f8edc-47f7-40a3-b267-77f3f049c658,Opened,haylee.dumbar@ikindergartens.nz,New contact submission from 'Deena Jensen' to 'Haylee Dumbar',"",2026-06-01 16:22:07 +1200,
b59f8edc-47f7-40a3-b267-77f3f049c658,Delivered,haylee.dumbar@ikindergartens.nz,New contact submission from 'Deena Jensen' to 'Haylee Dumbar',"",2026-06-01 13:59:15 +1200,
b59f8edc-47f7-40a3-b267-77f3f049c658,Processed,haylee.dumbar@ikindergartens.nz,New contact submission from 'Deena Jensen' to 'Haylee Dumbar',,2026-06-01 13:59:11 +1200,
08a0b5c0-b72d-472e-93f4-7d00fd757734,Delivered,opeys@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-31 14:17:46 +1200,
08a0b5c0-b72d-472e-93f4-7d00fd757734,Processed,opeys@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-05-31 14:17:41 +1200,
eddae2b3-ca15-4da0-8563-faeb215508f3,Delivered,office@ikindergartens.nz,New contact submission from 'Tess Jefferis' to 'Kate Quirk',"",2026-05-31 13:04:39 +1200,
eddae2b3-ca15-4da0-8563-faeb215508f3,Processed,office@ikindergartens.nz,New contact submission from 'Tess Jefferis' to 'Kate Quirk',,2026-05-31 13:04:34 +1200,
3066084f-52a1-4f0c-82ec-3edd0c75df17,Delivered,brookfield@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-31 09:59:38 +1200,
3066084f-52a1-4f0c-82ec-3edd0c75df17,Processed,brookfield@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-05-31 09:59:33 +1200,
24f5e2f0-7a3b-46cb-8d0f-2f0c83d197e1,Delivered,matua@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-31 09:55:57 +1200,
24f5e2f0-7a3b-46cb-8d0f-2f0c83d197e1,Processed,matua@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-05-31 09:55:52 +1200,
56d9ee3c-77a8-4230-aa65-563b777a100e,Opened,maungatapu@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-29 12:17:09 +1200,
67a5f95d-f109-46b6-b9c9-44c7041509b9,Delivered,peter.monteith@ikindergartens.nz,New contact submission from 'Kerry Duncan' to 'Peter Monteith',"",2026-05-29 11:51:49 +1200,
67a5f95d-f109-46b6-b9c9-44c7041509b9,Processed,peter.monteith@ikindergartens.nz,New contact submission from 'Kerry Duncan' to 'Peter Monteith',,2026-05-29 11:51:45 +1200,
4cd949d4-7909-4de1-afde-9d17bb7234de,Delivered,office@ikindergartens.nz,New contact submission from 'Sara Hallas' to 'Kate Quirk',"",2026-05-28 20:04:49 +1200,
4cd949d4-7909-4de1-afde-9d17bb7234de,Processed,office@ikindergartens.nz,New contact submission from 'Sara Hallas' to 'Kate Quirk',,2026-05-28 20:04:44 +1200,
608c28e2-c5ec-4367-84d3-e78299182885,Delivered,welcomebay@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-28 16:52:16 +1200,
608c28e2-c5ec-4367-84d3-e78299182885,Processed,welcomebay@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-05-28 16:52:12 +1200,
09b02fd9-d748-44d6-b4d7-d207403bead8,Delivered,otumoetai@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-28 14:43:04 +1200,
09b02fd9-d748-44d6-b4d7-d207403bead8,Processed,otumoetai@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,,2026-05-28 14:43:00 +1200,
d08ec2a0-6542-4166-a3ba-491990074a75,Opened,avenues@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-28 11:43:09 +1200,
d08ec2a0-6542-4166-a3ba-491990074a75,Delivered,avenues@ikindergartens.nz,New enrolment enquiry submission for Inspired Kindergartens,"",2026-05-28 11:30:50 +1200,
